,Bochum,Braunschweig,Dortmund,Duisburg,Essen,Freiburg,Gießen,Heidelberg,Kaiserslautern,Kassel,Leverkusen,Ludwigshafen,Mannheim,Marburg,Offenburg,Wiesbaden,Winsen (Luhe)
Bochum,0.9999999999999998,0.9046091720946847,0.9761405695770093,0.9536070011292473,0.9715457485295613,0.861115957661877,0.8715017781989304,0.8415355143524522,0.8024276926755279,0.9118223821768829,0.9601300507608282,0.8827096006311188,0.9156600370803927,0.8038231294118009,0.8175330622069594,0.8622506969664265,0.8453772962015124
Braunschweig,0.9046091720946847,0.9999999999999994,0.9385655755771108,0.9036613484306281,0.9101279298147553,0.8770914710451385,0.8549002805932473,0.8562771140727207,0.7883107229814635,0.9082975059565186,0.8653950990545803,0.9388387852216492,0.9421178352017544,0.768400756563692,0.8342547735010523,0.8491186961202003,0.9180213995329315
Dortmund,0.9761405695770093,0.9385655755771108,1.0,0.9705642417997017,0.9881070443707396,0.8830265859663948,0.8739205166900271,0.8613417377836418,0.8078730706387818,0.9286463610520269,0.9585665867543941,0.9114778223308192,0.9436186878464189,0.7818104556297152,0.8367792805906997,0.8790897879347215,0.8691126491523543
Duisburg,0.9536070011292473,0.9036613484306281,0.9705642417997017,1.0000000000000007,0.9735684482059104,0.8795380847886475,0.8318083760089383,0.8380645154995482,0.7891388999130678,0.9298931155005891,0.9371558048065556,0.8878287847406654,0.9023258867382254,0.7670015168771906,0.7921483198162914,0.8286895859666094,0.8020847657865287
Essen,0.9715457485295613,0.9101279298147553,0.9881070443707396,0.9735684482059104,1.0000000000000002,0.8816408371596539,0.8734858959840975,0.8629663536379665,0.8265017860819116,0.9399469441730709,0.9598713035998195,0.876443070047062,0.9203564624001063,0.7861724404810714,0.845794387776464,0.8703690512269181,0.8214591446880989
Freiburg,0.861115957661877,0.8770914710451385,0.8830265859663948,0.8795380847886475,0.8816408371596539,0.9999999999999997,0.8963510787839523,0.9719556639735609,0.8866444029712013,0.9250369729462355,0.8482026090239136,0.8085369009774149,0.9216738623274542,0.8734759932693184,0.9162648311073384,0.8945368650244931,0.8050658642014622
Gießen,0.8715017781989304,0.8549002805932473,0.8739205166900271,0.8318083760089383,0.8734858959840975,0.8963510787839523,0.9999999999999996,0.9319537810413155,0.9202360279244677,0.935048977002621,0.8990302125504989,0.7792579469077404,0.9001078645626778,0.9282686042858215,0.9128741289419695,0.9871965882113563,0.8710306492092337
Heidelberg,0.8415355143524522,0.8562771140727207,0.8613417377836418,0.8380645154995482,0.8629663536379665,0.9719556639735609,0.9319537810413155,0.9999999999999993,0.933939348066525,0.9118528773104998,0.8556319860319015,0.7717621336178527,0.9194257612472181,0.9159739633161154,0.9584251194988962,0.9255929216579306,0.828813699506229
Kaiserslautern,0.8024276926755279,0.7883107229814635,0.8078730706387818,0.7891388999130678,0.8265017860819116,0.8866444029712013,0.9202360279244677,0.933939348066525,0.999999999999999,0.8766539917312358,0.8327843481173324,0.7520290514819743,0.8323306907673518,0.9127373215756139,0.9130100904753727,0.9049321743744894,0.7793347842533059
Kassel,0.9118223821768829,0.9082975059565186,0.9286463610520269,0.9298931155005891,0.9399469441730709,0.9250369729462355,0.935048977002621,0.9118528773104998,0.8766539917312358,1.0000000000000002,0.90191120706192,0.8548857989424573,0.9097688705265671,0.8835104928292278,0.8705123148703299,0.9176539715031855,0.8171413052912877
Leverkusen,0.9601300507608282,0.8653950990545803,0.9585665867543941,0.9371558048065556,0.9598713035998195,0.8482026090239136,0.8990302125504989,0.8556319860319015,0.8327843481173324,0.90191120706192,0.9999999999999998,0.836670512505258,0.9077271256202321,0.7972261580827431,0.839507355971101,0.8891524923229409,0.8559483506003271
Ludwigshafen,0.8827096006311188,0.9388387852216492,0.9114778223308192,0.8878287847406654,0.876443070047062,0.8085369009774149,0.7792579469077404,0.7717621336178527,0.7520290514819743,0.8548857989424573,0.836670512505258,0.9999999999999989,0.9105705655535331,0.6879156450468882,0.7492963996523135,0.7812179985058383,0.862806698609343
Mannheim,0.9156600370803927,0.9421178352017544,0.9436186878464189,0.9023258867382254,0.9203564624001063,0.9216738623274542,0.9001078645626778,0.9194257612472181,0.8323306907673518,0.9097688705265671,0.9077271256202321,0.9105705655535331,1.0,0.7959816711994308,0.9097937137971117,0.9020059874126567,0.9062226317621676
Marburg,0.8038231294118009,0.768400756563692,0.7818104556297152,0.7670015168771906,0.7861724404810714,0.8734759932693184,0.9282686042858215,0.9159739633161154,0.9127373215756139,0.8835104928292278,0.7972261580827431,0.6879156450468882,0.7959816711994308,1.0,0.8651497556443956,0.9184280596581395,0.7853483655033267
Offenburg,0.8175330622069594,0.8342547735010523,0.8367792805906997,0.7921483198162914,0.845794387776464,0.9162648311073384,0.9128741289419695,0.9584251194988962,0.9130100904753727,0.8705123148703299,0.839507355971101,0.7492963996523135,0.9097937137971117,0.8651497556443956,1.0000000000000007,0.8951985764360791,0.8297156783824668
Wiesbaden,0.8622506969664265,0.8491186961202003,0.8790897879347215,0.8286895859666094,0.8703690512269181,0.8945368650244931,0.9871965882113563,0.9255929216579306,0.9049321743744894,0.9176539715031855,0.8891524923229409,0.7812179985058383,0.9020059874126567,0.9184280596581395,0.8951985764360791,1.0000000000000002,0.876324217373337
Winsen (Luhe),0.8453772962015124,0.9180213995329315,0.8691126491523543,0.8020847657865287,0.8214591446880989,0.8050658642014622,0.8710306492092337,0.828813699506229,0.7793347842533059,0.8171413052912877,0.8559483506003271,0.862806698609343,0.9062226317621676,0.7853483655033267,0.8297156783824668,0.876324217373337,1.0000000000000002
